"Path","Category","FieldID","Field","Participants","Items","Stability","ValueType","Units","ItemType","Strata","Sexed","Instances","Array","Coding","Notes","Link"
"Assessment centre > Physical measures > Hearing test",100049,4279,"Duration of hearing test (right)",225898,268999,"Complete","Integer","","Data","Auxiliary","Unisex",4,1,,"This is the total duration of the hearing test for the left ear. This should not be used as a marker of reaction time as participants were not explicity instructed to complete the test as quickly as possible.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4279"
"Assessment centre > Cognitive function > Numeric memory",100029,4281,"Completion status of numeric memory test",91279,100087,"Complete","Categorical single","","Data","Primary","Unisex",4,1,31,"Completion status of numeric memory test","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4281"
"Assessment centre > Cognitive function > Numeric memory",100029,4282,"Maximum digits remembered correctly",91279,100087,"Complete","Integer","","Data","Primary","Unisex",4,1,100696,"Longest number correctly recalled during the numeric memory test. A value of -1 is recorded if the participant chose to abandon the test before completing the first round.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4282"
"Assessment centre > Cognitive function > Numeric memory",100029,4283,"Number of rounds of numeric memory test performed",91279,100087,"Complete","Integer","rounds","Data","Primary","Unisex",4,1,100696,"Number of rounds of numeric memory test performed","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4283"
"Assessment centre > Cognitive function > Numeric memory",100029,4285,"Time to complete test",91279,100087,"Complete","Integer","deciseconds","Data","Auxiliary","Unisex",4,1,,"Total time use by numeric memory test from first to last rounds.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4285"
"Assessment centre > Cognitive function > Prospective memory",100031,4286,"Time when initial screen shown",227827,269422,"Complete","Time","","Data","Primary","Unisex",4,1,,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4286"
"Assessment centre > Cognitive function > Prospective memory",100031,4287,"Test completion status",227826,269421,"Complete","Categorical single","","Data","Primary","Unisex",4,1,32,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4287"
"Assessment centre > Cognitive function > Prospective memory",100031,4288,"Time to answer",227826,269421,"Complete","Integer","seconds","Data","Primary","Unisex",4,1,,"This is the time between completing the initial prompt and displaying answer. Between the initial prompt and the final challenge, various other tests were done so the time here depends strongly on how long the participants took to do these intervening tests and the number/complexity of them. The number of intervening tests has varied throughout the study, generally being larger at the imaging centres than in the original assessment centres, and hence there is systematic bias across time.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4288"
"Assessment centre > Cognitive function > Prospective memory",100031,4289,"Time screen exited",227827,269422,"Complete","Time","","Data","Primary","Unisex",4,1,,"","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4289"
"Assessment centre > Cognitive function > Prospective memory",100031,4290,"Duration screen displayed",227826,269421,"Complete","Integer","deciseconds","Data","Primary","Unisex",4,1,,"Time for which screen was visible.","http://biobank.ndph.ox.ac.uk/ukb/field.cgi?id=4290"
