--- target sibs
23570 40301 7417
23571 40281 7417
23572 40292 7417
23573 40296 7417
23574 40289 7417
23575 40298 7417
23576 40291 7417
23577 40295 7417
23578 40298 7417
23579 39115 7225
23580 39036 7225
23581 38957 7225
23582 39027 7225
23583 39121 7225
23584 39657 7382
23585 39925 7382
23586 39922 7382
23587 39933 7382
23588 39947 7382
23589 40297 7417
23590 40274 7417
23591 40288 7417
23592 40216 7417
23593 40213 7417
23594 40276 7417
23595 40305 7417
23596 40303 7417
23597 40303 7417
23598 40304 7417
23599 40303 7417
23600 40303 7417
23601 40296 7417
23602 40303 7417
23603 40297 7417
23604 40295 7417
23605 40301 7417
23606 40305 7417
23607 40289 7417
23608 40302 7417
23609 40295 7417
23610 40288 7417
23611 40296 7417
23612 40284 7417
23613 40247 7417
23614 40287 7417
23615 40248 7417
23616 40267 7417
23617 40284 7417
23618 40236 7417
23619 40296 7417
23620 40261 7417
23621 40289 7417
23622 40283 7417
23623 40249 7417
23624 40286 7417
23625 40274 7417
23626 40299 7417
23627 40254 7417
23628 40248 7417
23629 40128 7417
23630 40217 7417
23631 40212 7417
23632 40197 7417
23633 40175 7417
23634 40263 7417
23635 40247 7417
23636 40264 7417
23637 40176 7417
23638 40242 7417
23639 40293 7417
23640 40291 7417
23641 40301 7417
23642 40293 7417
23643 40291 7417
23644 40303 7417
23645 40300 7417
23646 40285 7417
23647 40279 7417
23648 40295 7417
2714 85640 13752
2744 70052 12091
2754 59514 10805
2764 59450 10790
2794 70247 11854
2824 14741 3420
30000 130071 16359
30010 130109 16359
30020 130122 16359
30030 130116 16359
30040 130031 16359
30050 129950 16359
30060 130015 16359
30070 129775 16359
30080 130056 16359
30090 130059 16359
30100 130124 16359
30110 130093 16359
30120 129849 16349
30130 129759 16349
30140 129830 16349
30150 129653 16349
30180 129882 16349
30190 129737 16349
30200 129807 16349
30210 129706 16349
30240 127863 16279
30250 127858 16279
30260 127977 16279
30270 127986 16279
30280 128024 16279
30290 127852 16279
30300 127856 16279
30530 162980 17335
30600 121965 15816
30610 133196 16285
30620 132911 16285
30630 121235 15789
30640 132678 16263
30650 132484 16263
30660 112276 15010
30670 133212 16279
30680 121902 15810
30690 133352 16287
30700 133211 16281
30710 132409 16272
30720 133147 16289
30730 132762 16283
30740 121404 15807
30750 127020 16261
30760 121931 15816
30770 132559 16253
30780 133100 16279
30790 107324 14652
30810 121745 15801
3083 14823 2634
30830 120642 15770
3084 14827 2634
30840 132510 16258
3085 14830 2634
30850 121362 15653
3086 14823 2634
30860 121847 15810
30870 133038 16279
30880 133193 16285
30890 126726 15951
3143 96006 12783
3144 95891 12783
3146 95839 12783
3147 95833 12783
3148 95989 12781
3536 50109 6142
3581 59403 9577
3680 6388 1169
3710 16357 2569
3761 53945 5768
3786 17029 3183
3872 11664 2399
3882 5893 1532
4100 53365 6888
4101 53307 6888
4103 53285 6888
4104 53274 6888
4105 53248 6888
4106 53278 6888
4119 53384 6880
4120 53313 6880
4122 53302 6880
4123 53288 6880
4124 53267 6879
4125 53284 6880
4194 51173 6713
4198 55369 7010
4199 55366 7010
4200 55349 7010
4283 17081 2881
4288 55711 7041
4290 55446 7041
46 167475 17347
47 167470 17346
48 167857 17346
49 167774 17346
50 167773 17347
51 167619 17347
5386 13846 2425
6032 25390 3368
6033 25373 3368
77 14828 2634
78 95838 12783
845 109554 14511
