"","factor","maf_class2","prs_bin2","simid","mean_odds","ci_lower","ci_upper"
"47","f1","n1_10",36,"f1_36_n1_10",1.40568766834363,1.2780303624108,1.54609614845613
"48","f1","n1_10_top",36,"f1_36_n1_10_top",0.809183493670956,0.6761805813241,0.968347723247752
"49","f1","maf1",41,"f1_41_maf1",1.32576408022344,1.21246257041618,1.44965332480934
"50","f1","maf1_top",41,"f1_41_maf1_top",0.545830856883737,0.469691733486669,0.634312471532759
"51","f1","n1_10",41,"f1_41_n1_10",1.39891950385445,1.27778319566351,1.53153976739238
"52","f1","n1_10_top",41,"f1_41_n1_10_top",0.800933064470928,0.658583592417018,0.974050646188276
"53","f1","maf1",46,"f1_46_maf1",1.32391098834297,1.21234706106964,1.44574137335628
"54","f1","maf1_top",46,"f1_46_maf1_top",0.534681381655253,0.456184937371648,0.626684829919898
"55","f1","n1_10",46,"f1_46_n1_10",1.41524219863749,1.28868091617308,1.5542330577473
"56","f1","n1_10_top",46,"f1_46_n1_10_top",0.832748867310127,0.659506075023645,1.05150005779922
"57","f1","maf1",51,"f1_51_maf1",1.34624358498033,1.22547051651837,1.47891912997609
"58","f1","maf1_top",51,"f1_51_maf1_top",0.529030445996729,0.447455960435557,0.625476555321931
"59","f1","n1_10",51,"f1_51_n1_10",1.38215039778364,1.26658741569705,1.5082573049584
"60","f1","n1_10_top",51,"f1_51_n1_10_top",0.81441671674665,0.646371223048543,1.02615117267772
"61","f1","maf1",56,"f1_56_maf1",1.34974108672078,1.22821288855272,1.48329415703245
"62","f1","maf1_top",56,"f1_56_maf1_top",0.555669376060439,0.469482829087171,0.657677845410757
"63","f1","n1_10",56,"f1_56_n1_10",1.45481004286313,1.32921476442654,1.59227260895537
"64","f1","n1_10_top",56,"f1_56_n1_10_top",0.783304054732713,0.651125544096556,0.942314808140475
"65","f1","maf1",61,"f1_61_maf1",1.36397407335105,1.25428166806335,1.48325955815524
"66","f1","maf1_top",61,"f1_61_maf1_top",0.584572061420248,0.495331708251067,0.689890207513042
"67","f1","n1_10",61,"f1_61_n1_10",1.4454489343819,1.31578636277471,1.58788894688029
"68","f1","n1_10_top",61,"f1_61_n1_10_top",1.0388185625906,0.845780950829601,1.27591429545002
"69","f1","maf1",66,"f1_66_maf1",1.40720149151845,1.28199591843798,1.54463521236831
"70","f1","maf1_top",66,"f1_66_maf1_top",0.705700426139882,0.612044211412758,0.813688099924131
"71","f1","n1_10",66,"f1_66_n1_10",1.4482747548766,1.3158728686601,1.59399879393263
"72","f1","n1_10_top",66,"f1_66_n1_10_top",0.940488796475612,0.795972296620491,1.11124367022772
"73","f1","maf1",71,"f1_71_maf1",1.40773052532707,1.28722641761848,1.53951566314495
"74","f1","maf1_top",71,"f1_71_maf1_top",0.737943735383913,0.640152604455598,0.850673656253374
"75","f1","n1_10",71,"f1_71_n1_10",1.44934719121685,1.31292039905193,1.59995021952971
"76","f1","n1_10_top",71,"f1_71_n1_10_top",0.950932876185678,0.767661642368868,1.1779582111467
"77","f1","maf1",76,"f1_76_maf1",1.46749808389281,1.34095719120113,1.60598014639087
"78","f1","maf1_top",76,"f1_76_maf1_top",0.837510068163646,0.721341561017264,0.972386941473747
"79","f1","n1_10",76,"f1_76_n1_10",1.52546069956813,1.38253079866054,1.68316709340684
"80","f1","n1_10_top",76,"f1_76_n1_10_top",1.06065771059391,0.867406006466229,1.29696447875142
"81","f1","maf1",81,"f1_81_maf1",1.47314952590609,1.34433510260992,1.61430696964182
"82","f1","maf1_top",81,"f1_81_maf1_top",0.994872488741343,0.854745889112149,1.15797137074564
"83","f1","n1_10",81,"f1_81_n1_10",1.52589546037239,1.38480310437948,1.68136318341689
"84","f1","n1_10_top",81,"f1_81_n1_10_top",1.24609569398258,1.02985526418732,1.50774048796772
"85","f1","maf1",86,"f1_86_maf1",1.59870462149838,1.4610830292975,1.74928899696353
"86","f1","maf1_top",86,"f1_86_maf1_top",1.31999234187253,1.14653172988005,1.51969608619938
"87","f1","n1_10",86,"f1_86_n1_10",1.62248391580169,1.48376480584187,1.77417205656228
"88","f1","n1_10_top",86,"f1_86_n1_10_top",1.79228682835238,1.47316669991489,2.18053535643387
"89","f1","maf1",91,"f1_91_maf1",1.66151293729605,1.51103560670388,1.82697563747296
"90","f1","maf1_top",91,"f1_91_maf1_top",1.80801122333686,1.57050298411032,2.08143799584301
"91","f1","n1_10",91,"f1_91_n1_10",1.73369064045601,1.57161511054997,1.91248049005646
"92","f1","n1_10_top",91,"f1_91_n1_10_top",2.69952307492089,2.24491271419859,3.24619517985663
"93","f1","maf1",96,"f1_96_maf1",1.81578451594097,1.63766870057296,2.0132725301384
"94","f1","maf1_top",96,"f1_96_maf1_top",2.53225998634088,2.14663287464512,2.9871622270218
"95","f1","n1_10",96,"f1_96_n1_10",1.95293934495019,1.68900427334655,2.25811867100701
"96","f1","n1_10_top",96,"f1_96_n1_10_top",2.52057491165335,1.91397298451389,3.31942923785304
"97","f1","maf1",97,"f1_97_maf1",1.95902641133674,1.73881779647843,2.20712284408835
"98","f1","maf1_top",97,"f1_97_maf1_top",3.01216540800625,2.49708829218743,3.63348804028128
"99","f1","n1_10",97,"f1_97_n1_10",2.07091994324739,1.76943567184056,2.42377243750189
"100","f1","n1_10_top",97,"f1_97_n1_10_top",3.01173581622176,2.45531492626829,3.69425222388838
"101","f1","maf1",98,"f1_98_maf1",1.99452117889629,1.77399248817342,2.24246424919301
"102","f1","maf1_top",98,"f1_98_maf1_top",3.52575499570778,2.95483455838211,4.20698622685827
"103","f1","n1_10",98,"f1_98_n1_10",2.33986400003614,2.03314803761367,2.69285041589552
"104","f1","n1_10_top",98,"f1_98_n1_10_top",3.79266072283829,2.85129195684654,5.04482724893206
"105","f1","maf1",99,"f1_99_maf1",1.92851345397907,1.69780609362618,2.19057061706904
"106","f1","maf1_top",99,"f1_99_maf1_top",4.038217101353,3.27634464075979,4.97725335570256
"107","f1","n1_10",99,"f1_99_n1_10",2.64184058282394,2.25395372511541,3.09647957155738
"108","f1","n1_10_top",99,"f1_99_n1_10_top",4.73282763801059,3.51217669685346,6.37771370420645
"109","f1","maf1",100,"f1_100_maf1",1.96596831605843,1.70316549091874,2.26932229448865
"110","f1","maf1_top",100,"f1_100_maf1_top",4.28596600406842,3.34647266441914,5.48921399637929
"111","f1","n1_10",100,"f1_100_n1_10",3.61220695062377,2.97719680553173,4.38265922826833
"112","f1","n1_10_top",100,"f1_100_n1_10_top",9.33429626175679,7.04742912167956,12.3632441274531
"113","f10","maf1",1,"f10_1_maf1",2.21869717067012,1.91731011030827,2.56746006223694
"114","f10","maf1_top",1,"f10_1_maf1_top",5.71344498751994,4.55097170660015,7.17285356401464
"115","f10","n1_10",1,"f10_1_n1_10",6.3934676899036,5.26069084337653,7.77016371401235
"116","f10","n1_10_top",1,"f10_1_n1_10_top",18.89227573999,14.6996512988145,24.2807176429144
"117","f10","maf1",2,"f10_2_maf1",2.35459640437701,2.07663149477459,2.66976795905088
"118","f10","maf1_top",2,"f10_2_maf1_top",5.18228466877481,4.21152591371841,6.37680378523585
"119","f10","n1_10",2,"f10_2_n1_10",3.40351432494103,2.94226084787225,3.93707776401128
"120","f10","n1_10_top",2,"f10_2_n1_10_top",8.19476042828115,6.42450180958322,10.4528102672103
"121","f10","maf1",3,"f10_3_maf1",2.34866764368036,2.07841698104313,2.65405823315711
"122","f10","maf1_top",3,"f10_3_maf1_top",4.45854483499844,3.68383334224589,5.39617843666403
"123","f10","n1_10",3,"f10_3_n1_10",3.14644959637129,2.69462366487676,3.67403626396854
"124","f10","n1_10_top",3,"f10_3_n1_10_top",5.88795476916789,4.54469376556827,7.62823925044638
"125","f10","maf1",4,"f10_4_maf1",2.24864299886807,2.0022083358154,2.52540919239515
"126","f10","maf1_top",4,"f10_4_maf1_top",3.38473167763004,2.87295650977764,3.98767210382832
"127","f10","n1_10",4,"f10_4_n1_10",2.6623912392325,2.31890054498496,3.05676201856597
"128","f10","n1_10_top",4,"f10_4_n1_10_top",3.63506820155252,2.77752035821101,4.75738037018356
"129","f10","maf1",5,"f10_5_maf1",2.17245585526134,1.92872941612735,2.44698110766392
"130","f10","maf1_top",5,"f10_5_maf1_top",2.83847362179567,2.32147149436239,3.47061444484492
"131","f10","n1_10",5,"f10_5_n1_10",2.45061308154699,2.09257808424906,2.86990699207499
"132","f10","n1_10_top",5,"f10_5_n1_10_top",3.17615218229999,2.39559040242598,4.21104654406407
"133","f10","maf1",6,"f10_6_maf1",1.99507159859593,1.78814958881819,2.22593831545981
"134","f10","maf1_top",6,"f10_6_maf1_top",1.70472606668725,1.44614906593568,2.00953762713439
"135","f10","n1_10",6,"f10_6_n1_10",2.18577320308887,1.95031268099614,2.4496607861367
"136","f10","n1_10_top",6,"f10_6_n1_10_top",2.96413380065786,2.3899625982332,3.67624547543029
"137","f10","maf1",11,"f10_11_maf1",1.8461780034444,1.65781804669805,2.0559392673946
"138","f10","maf1_top",11,"f10_11_maf1_top",0.988089788294454,0.810335726919448,1.20483572092192
"139","f10","n1_10",11,"f10_11_n1_10",1.84532150701544,1.65848658053756,2.05320411043062
"140","f10","n1_10_top",11,"f10_11_n1_10_top",1.67009914313193,1.30637847249399,2.13508658219476
"141","f10","maf1",16,"f10_16_maf1",1.73605233585132,1.55102485909771,1.94315242282326
"142","f10","maf1_top",16,"f10_16_maf1_top",0.65750197426413,0.529640251274048,0.816231102378098
"143","f10","n1_10",16,"f10_16_n1_10",1.74672915895944,1.56606788215711,1.9482314844211
"144","f10","n1_10_top",16,"f10_16_n1_10_top",1.05859384095304,0.84615490158317,1.32436852638568
"145","f10","maf1",21,"f10_21_maf1",1.62129342569452,1.44849068171693,1.81471127524587
"146","f10","maf1_top",21,"f10_21_maf1_top",0.480943778784923,0.390312836553246,0.592619295830836
"147","f10","n1_10",21,"f10_21_n1_10",1.71265257972002,1.5280287303053,1.9195835789263
"148","f10","n1_10_top",21,"f10_21_n1_10_top",1.21811594974565,0.975461212501778,1.52113323216534
"149","f10","maf1",26,"f10_26_maf1",1.58111928037668,1.41844841172814,1.76244561177457
"150","f10","maf1_top",26,"f10_26_maf1_top",0.452496322556907,0.373235737681084,0.548588736972658
"151","f10","n1_10",26,"f10_26_n1_10",1.62421046514863,1.47952175058342,1.78304890351091
"152","f10","n1_10_top",26,"f10_26_n1_10_top",0.815351880478932,0.643514267693929,1.03307529044053
"153","f10","maf1",31,"f10_31_maf1",1.51218883833229,1.35394484277894,1.68892779862682
"154","f10","maf1_top",31,"f10_31_maf1_top",0.323352002996146,0.254937891991269,0.410125450653686
"155","f10","n1_10",31,"f10_31_n1_10",1.5465354648932,1.38323354105043,1.72911650360656
"156","f10","n1_10_top",31,"f10_31_n1_10_top",0.758925733163837,0.590736741183654,0.97499990825728
"157","f10","maf1",36,"f10_36_maf1",1.5073560118604,1.35405243705616,1.67801636355495
"158","f10","maf1_top",36,"f10_36_maf1_top",0.318575746540777,0.258054921460279,0.393290334126161
"159","f10","n1_10",36,"f10_36_n1_10",1.59476943634919,1.43294700445116,1.7748664446161
"160","f10","n1_10_top",36,"f10_36_n1_10_top",0.863124536898848,0.661619461301314,1.12600068433835
"161","f10","maf1",41,"f10_41_maf1",1.50438587238662,1.35354290915649,1.67203923697317
"162","f10","maf1_top",41,"f10_41_maf1_top",0.298416518105542,0.242414721532175,0.367355652805995
"163","f10","n1_10",41,"f10_41_n1_10",1.57390532934938,1.41680251655766,1.74842856135876
"164","f10","n1_10_top",41,"f10_41_n1_10_top",0.724722187428387,0.577635794442591,0.909261950184055
"165","f10","maf1",46,"f10_46_maf1",1.49004211579439,1.33531001084188,1.66270415769685
"166","f10","maf1_top",46,"f10_46_maf1_top",0.311942868779573,0.254514629572707,0.382329116191852
"167","f10","n1_10",46,"f10_46_n1_10",1.53841035117393,1.39065942190623,1.70185911181256
"168","f10","n1_10_top",46,"f10_46_n1_10_top",0.701699819897273,0.560707491276949,0.878145280567802
"169","f10","maf1",51,"f10_51_maf1",1.53682471232307,1.38038397301584,1.71099508729212
